
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
    146.86566 |       4.92462 |       4.92462 |       0.00000 |      17.14137 |      12.14137 |       0.00137 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91601 |      25.50000 |     -80.00000 | 
    147.00705 |       5.02513 |       5.02513 |       0.00000 |      17.14140 |      12.14140 |       0.00140 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91604 |      25.50000 |     -80.00000 | 
    147.14758 |       5.12563 |       5.12563 |       0.00000 |      17.14142 |      12.14142 |       0.00142 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91607 |      25.50000 |     -80.00000 | 
    147.28699 |       5.22613 |       5.22613 |       0.00000 |      17.14145 |      12.14145 |       0.00145 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91609 |      25.50000 |     -80.00000 | 
    147.42488 |       5.32663 |       5.32663 |       0.00000 |      17.14148 |      12.14148 |       0.00148 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91611 |      25.50000 |     -80.00000 | 
    147.56474 |       5.42714 |       5.42714 |       0.00000 |      17.14151 |      12.14151 |       0.00151 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91612 |      25.50000 |     -80.00000 | 
    147.70538 |       5.52764 |       5.52764 |       0.00000 |      17.14154 |      12.14154 |       0.00154 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91613 |      25.50000 |     -80.00000 | 
    147.84282 |       5.62814 |       5.62814 |       0.00000 |      17.14156 |      12.14156 |       0.00156 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91614 |      25.50000 |     -80.00000 | 
    147.98166 |       5.72864 |       5.72864 |       0.00000 |      17.14159 |      12.14159 |       0.00159 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91615 |      25.50000 |     -80.00000 | 
    148.11838 |       5.82915 |       5.82915 |       0.00000 |      17.14162 |      12.14162 |       0.00162 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91616 |      25.50000 |     -80.00000 | 
    148.25652 |       5.92965 |       5.92965 |       0.00000 |      17.14165 |      12.14165 |       0.00165 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91617 |      25.50000 |     -80.00000 | 
    148.39615 |       6.03015 |       6.03015 |       0.00000 |      17.14168 |      12.14168 |       0.00168 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91617 |      25.50000 |     -80.00000 | 
    148.53522 |       6.13065 |       6.13065 |       0.00000 |      17.14170 |      12.14170 |       0.00170 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    148.67409 |       6.23116 |       6.23116 |       0.00000 |      17.14173 |      12.14173 |       0.00173 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    148.81584 |       6.33166 |       6.33166 |       0.00000 |      17.14176 |      12.14176 |       0.00176 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    148.95493 |       6.43216 |       6.43216 |       0.00000 |      17.14179 |      12.14179 |       0.00179 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
    149.09523 |       6.53266 |       6.53266 |       0.00000 |      17.14182 |      12.14181 |       0.00181 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.23497 |       6.63317 |       6.63317 |       0.00000 |      17.14184 |      12.14184 |       0.00184 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.37239 |       6.73367 |       6.73367 |       0.00000 |      17.14187 |      12.14187 |       0.00187 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.51193 |       6.83417 |       6.83417 |       0.00000 |      17.14190 |      12.14190 |       0.00190 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.64999 |       6.93467 |       6.93467 |       0.00000 |      17.14193 |      12.14193 |       0.00193 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.78850 |       7.03518 |       7.03518 |       0.00000 |      17.14195 |      12.14195 |       0.00195 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    149.92879 |       7.13568 |       7.13568 |       0.00000 |      17.14198 |      12.14198 |       0.00198 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    150.07487 |       7.23618 |       7.23618 |       0.00000 |      17.14201 |      12.14201 |       0.00201 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    150.15370 |       7.28643 |       7.28643 |       0.00000 |      17.14202 |      12.14202 |       0.00202 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    150.29915 |       7.38693 |       7.38693 |       0.00000 |      17.14205 |      12.14205 |       0.00205 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    150.43829 |       7.48744 |       7.48744 |       0.00000 |      17.14208 |      12.14208 |       0.00208 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    150.57849 |       7.58794 |       7.58794 |       0.00000 |      17.14211 |      12.14211 |       0.00211 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    150.71764 |       7.68844 |       7.68844 |       0.00000 |      17.14214 |      12.14214 |       0.00214 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    150.85683 |       7.78894 |       7.78894 |       0.00000 |      17.14216 |      12.14216 |       0.00216 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    150.99742 |       7.88945 |       7.88945 |       0.00000 |      17.14219 |      12.14219 |       0.00219 |      25.78772 |     -80.27554 |       3.91619 |       0.32409 |       1.00000 |       3.91620 |      25.50000 |     -80.00000 | 
    151.13719 |       7.98995 |       7.98995 |       0.00000 |      17.14222 |      12.14222 |       0.00222 |      25.78772 |     -80.27554 |       3.91619 |       0.32409 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.27451 |       8.09045 |       8.09045 |       0.00000 |      17.14225 |      12.14225 |       0.00225 |      25.78772 |     -80.27554 |       3.91618 |       0.32408 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.41473 |       8.19096 |       8.19096 |       0.00000 |      17.14227 |      12.14228 |       0.00228 |      25.78772 |     -80.27554 |       3.91618 |       0.32408 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.48441 |       8.24121 |       8.24121 |       0.00000 |      17.14229 |      12.14229 |       0.00229 |      25.78772 |     -80.27554 |       3.91618 |       0.32408 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.62749 |       8.34171 |       8.34171 |       0.00000 |      17.14232 |      12.14232 |       0.00232 |      25.78772 |     -80.27554 |       3.91618 |       0.32408 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.76962 |       8.44221 |       8.44221 |       0.00000 |      17.14235 |      12.14235 |       0.00235 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    151.91246 |       8.54271 |       8.54271 |       0.00000 |      17.14237 |      12.14237 |       0.00237 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    152.05817 |       8.64322 |       8.64322 |       0.00000 |      17.14240 |      12.14240 |       0.00240 |      25.78772 |     -80.27554 |       3.91617 |       0.32407 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    152.20435 |       8.74372 |       8.74372 |       0.00000 |      17.14243 |      12.14243 |       0.00243 |      25.78772 |     -80.27554 |       3.91616 |       0.32407 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    152.27541 |       8.79397 |       8.79397 |       0.00000 |      17.14244 |      12.14244 |       0.00244 |      25.78772 |     -80.27554 |       3.91616 |       0.32406 |       1.00000 |       3.91619 |      25.50000 |     -80.00000 | 
    152.42645 |       8.89447 |       8.89447 |       0.00000 |      17.14247 |      12.14247 |       0.00247 |      25.78772 |     -80.27554 |       3.91616 |       0.32406 |       1.00000 |       3.91618 |      25.50000 |     -80.00000 | 
